party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp,score
NA,tennessee,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
NA,south carolina,3,NA,1,1,1,0,0.75,NA,NA,NA,NA,1,1,0,0.25,2016,Other Christian,Donald Trump,0,NA,NA,NA,0.6
NA,wisconsin,3,NA,1,1,1,0,0.25,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.528
Democrat,north carolina,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA,NA,NA,NA,NA,NA
NA,indiana,3,NA,0,0,0,0,0.25,NA,NA,NA,NA,0.51,0.51,0,0,2016,Not Religious,Hilary Clinton,0.51,NA,NA,NA,0.178
NA,minnesota,5,NA,1,1,1,0,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Catholic,NA,0.51,NA,NA,NA,0.603
NA,virginia,4,NA,1,1,0,0,0.25,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0.17,NA,NA,NA,0.394
NA,NA,2,NA,1,0,0,0,0.5,NA,NA,NA,NA,0.85,0.51,0,0,2016,Catholic,NA,0,NA,NA,NA,0.286
NA,alabama,4,NA,1,1,1,0,0.25,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.528
Democrat,pennsylvania,3,NA,1,0,0,1,0.25,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Not Religious,Hilary Clinton,0.51,NA,NA,NA,0.403
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
Democrat,massachusetts,2,NA,1,0,0,0,0,NA,NA,NA,NA,0.85,0.85,0.25,0,2016,Catholic,Hilary Clinton,0,NA,NA,NA,0.295
Republican,florida,3,NA,0,1,1,0,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0.17,NA,NA,NA,0.444
Independent,new jersey,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
Democrat,kentucky,5,NA,1,1,1,0,1,NA,NA,NA,NA,1,1,0.25,0.75,2016,Mainline,Donald Trump,1,NA,NA,NA,0.8
Republican,kentucky,5,NA,1,1,0,0,0.5,NA,NA,NA,NA,1,1,0.5,0.75,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.626
Democrat,california,2,NA,NA,0,NA,0,0.75,NA,NA,NA,NA,0.51,0.51,0,0,2016,Other Religion,Hilary Clinton,0.17,NA,NA,NA,0.2425
NA,south carolina,3,NA,1,1,1,0,0.25,NA,NA,NA,NA,1,0.51,0.25,0.25,2016,Other Christian,Donald Trump,0.51,NA,NA,NA,0.577
Independent,florida,4,NA,0,1,0,0,0.75,NA,NA,NA,NA,0.85,0.85,0.75,0.75,2016,Catholic,Donald Trump,0.85,NA,NA,NA,0.58
NA,illinois,2,NA,1,1,1,0,0.5,NA,NA,NA,NA,1,0.51,0.25,0.5,2016,Mainline,Hilary Clinton,0.85,NA,NA,NA,0.661
NA,minnesota,5,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,1,0.25,0.25,2016,Other Christian,NA,0.51,NA,NA,NA,0.702
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA,NA
Democrat,maryland,3,NA,1,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.5,2016,Catholic,Hilary Clinton,0.85,NA,NA,NA,0.512
Democrat,pennsylvania,3,NA,1,1,1,1,0.25,NA,NA,NA,NA,1,1,0,0,2016,Catholic,Hilary Clinton,0,NA,NA,NA,0.625
NA,south carolina,5,NA,1,0,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.5,2016,Catholic,Hilary Clinton,0,NA,NA,NA,0.327
Republican,oregon,4,NA,1,1,0,0,0.25,NA,NA,NA,NA,1,1,0.5,0.5,2016,Not Religious,Donald Trump,0.51,NA,NA,NA,0.576
Republican,california,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
NA,wisconsin,4,NA,1,0,0,0,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Catholic,Donald Trump,0.68,NA,NA,NA,0.395
NA,NA,3,NA,1,0,0,0,0.25,NA,NA,NA,NA,0.85,1,0.75,0.5,2016,Evangelical,NA,0.85,NA,NA,NA,0.52
Democrat,california,1,NA,0,0,0,0,0.75,NA,NA,NA,NA,0.51,0,0,0,2016,Mainline,Hilary Clinton,0,NA,NA,NA,0.126
Democrat,new york,4,NA,1,0,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Mainline,RF,0.51,NA,NA,NA,0.328
Independent,oklahoma,2,NA,0,1,1,1,0,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,NA,0.17,NA,NA,NA,0.469
NA,NA,2,NA,1,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,NA,0.51,NA,NA,NA,0.453
Independent,louisiana,4,NA,1,0,0,0,0.5,NA,NA,NA,NA,1,0.51,0.5,0.75,2016,Not Religious,Donald Trump,0,NA,NA,NA,0.426
NA,texas,2,NA,0,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Catholic,Donald Trump,0.51,NA,NA,NA,0.403
NA,tennessee,3,NA,0,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.25,2016,Mainline,Donald Trump,0.51,NA,NA,NA,0.578
NA,NA,5,NA,0,0,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Mainline,NA,0.51,NA,NA,NA,0.253
Democrat,california,3,NA,0,0,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Catholic,NA,0.51,NA,NA,NA,0.228
Republican,florida,3,NA,1,1,1,0,0.5,NA,NA,NA,NA,1,1,0.25,0.5,2016,Other Christian,NA,0.51,NA,NA,NA,0.676
Independent,new york,3,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.85,0.51,0,0.25,2016,Catholic,Hilary Clinton,0.17,NA,NA,NA,0.553
Democrat,nevada,2,NA,1,1,0,0,0.75,NA,NA,NA,NA,1,0.85,0.5,0.5,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.611
Independent,pennsylvania,3,NA,1,0,0,0,0,NA,NA,NA,NA,1,0.85,0.5,0.5,2016,Not Religious,Hilary Clinton,0.85,NA,NA,NA,0.47
Republican,west virginia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA,NA
Independent,new york,5,NA,1,1,1,1,0,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Evangelical,Donald Trump,1,NA,NA,NA,0.702
NA,texas,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
Republican,california,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
NA,NA,3,NA,1,1,1,0,0.25,NA,NA,NA,NA,1,1,0.25,0.75,2016,Other Christian,NA,0.51,NA,NA,NA,0.676
NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA,NA
Republican,kansas,2,NA,1,1,1,0,0.25,NA,NA,NA,NA,0.51,0.85,0.25,0.75,2016,Other Religion,Donald Trump,0.51,NA,NA,NA,0.612
Republican,california,3,NA,1,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0,NA,NA,NA,0.402
Republican,california,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
NA,missouri,3,NA,1,1,1,1,0.25,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.678
Independent,new jersey,5,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.51,1,0.75,1,2016,Mainline,Donald Trump,0.85,NA,NA,NA,0.786
NA,wisconsin,2,NA,1,1,0,0,0.75,NA,NA,NA,NA,0.85,0.51,0.5,0.25,2016,Catholic,Donald Trump,0.17,NA,NA,NA,0.503
NA,indiana,3,NA,1,1,1,1,1,NA,NA,NA,NA,0.85,1,0.25,0.25,2016,Not Religious,NA,0.51,NA,NA,NA,0.786
Republican,new jersey,4,NA,1,1,0,1,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Mainline,NA,0.85,NA,NA,NA,0.637
Democrat,california,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA,NA
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA,NA,NA,NA,NA,NA
Democrat,california,2,NA,0,1,1,1,0.75,NA,NA,NA,NA,0.51,0.51,1,0,2016,Catholic,NA,0,NA,NA,NA,0.577
Democrat,NA,1,NA,1,1,0,1,0,NA,NA,NA,NA,0.85,0.85,0.75,0.5,2016,Not Religious,NA,0.51,NA,NA,NA,0.646
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA,NA,NA,NA,NA,NA
NA,georgia,3,NA,1,1,1,1,0.75,NA,NA,NA,NA,0.85,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.712
NA,georgia,3,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.703
Independent,colorado,4,NA,0,0,0,0,0.25,NA,NA,NA,NA,0.51,0.85,0,0,2016,Evangelical,Hilary Clinton,0,NA,NA,NA,0.161
NA,texas,3,NA,1,0,0,0,0.5,NA,NA,NA,NA,1,0.68,0.5,0.75,2016,Mainline,Donald Trump,0,NA,NA,NA,0.443
Democrat,arizona,3,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,1,0,0,2016,Evangelical,Hilary Clinton,0.51,NA,NA,NA,0.652
Republican,pennsylvania,3,NA,1,0,1,0,0.75,NA,NA,NA,NA,0.51,1,0.5,0.5,2016,Catholic,Donald Trump,0.51,NA,NA,NA,0.577
NA,texas,4,NA,0,0,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0,2016,Mainline,Donald Trump,0,NA,NA,NA,0.152
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA
NA,NA,4,NA,1,1,1,0,0.5,NA,NA,NA,NA,0.85,0.17,0.5,0.5,2016,Other Religion,NA,0.17,NA,NA,NA,0.569
NA,ohio,4,NA,1,0,0,1,0,NA,NA,NA,NA,0.51,0.51,0,0,2016,Not Religious,None,0.51,NA,NA,NA,0.353
Republican,california,3,NA,1,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.75,2016,Mainline,Donald Trump,0.85,NA,NA,NA,0.562
Republican,massachusetts,3,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.85,1,0,0.25,2016,Catholic,Donald Trump,0.85,NA,NA,NA,0.67
Republican,north carolina,2,NA,0,1,0,0,0.25,NA,NA,NA,NA,1,0.51,0.25,0.25,2016,Catholic,Donald Trump,0.51,NA,NA,NA,0.377
Democrat,nevada,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
Republican,kansas,3,NA,1,0,1,0,0.75,NA,NA,NA,NA,0.85,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.512
Republican,california,5,NA,1,1,0,0,0,NA,NA,NA,NA,0.51,0.51,0,0,2016,Not Religious,Donald Trump,0.51,NA,NA,NA,0.353
Republican,california,3,NA,1,0,0,0,0.75,NA,NA,NA,NA,0.68,0.68,0,0.25,2016,Other Christian,Donald Trump,0,NA,NA,NA,0.336
NA,NA,1,NA,1,1,0,1,0.25,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,NA,0.17,NA,NA,NA,0.494
Democrat,florida,3,NA,0,1,0,1,1,NA,NA,NA,NA,0.51,0.68,0,0.75,2016,Catholic,Hilary Clinton,1,NA,NA,NA,0.594
Democrat,arizona,1,NA,1,1,1,1,0.75,NA,NA,NA,NA,1,0.51,0.25,0.25,2016,Catholic,NA,0,NA,NA,NA,0.676
Democrat,california,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
Independent,arizona,4,NA,0,0,0,1,1,NA,NA,NA,NA,1,0.51,0.25,0.25,2016,Not Religious,Hilary Clinton,0,NA,NA,NA,0.401
NA,illinois,3,NA,0,0,0,1,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Catholic,NA,0.51,NA,NA,NA,0.378
NA,alabama,4,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Other Christian,Donald Trump,0.51,NA,NA,NA,0.578
Democrat,new york,3,NA,1,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0,2016,Mainline,Hilary Clinton,0.17,NA,NA,NA,0.369
Democrat,new york,3,NA,1,1,1,1,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,Hilary Clinton,0.51,NA,NA,NA,0.678
NA,NA,2,NA,1,1,0,1,0.5,NA,NA,NA,NA,1,0.51,0.75,0.25,2016,Catholic,NA,0.17,NA,NA,NA,0.618
NA,illinois,4,NA,0,1,0,0,0.75,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Jewish,Hilary Clinton,0.51,NA,NA,NA,0.353
NA,indiana,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
NA,illinois,2,NA,0,0,0,0,0,NA,NA,NA,NA,0.85,0.51,0.25,0.25,2016,Not Religious,Hilary Clinton,0,NA,NA,NA,0.186
Republican,arizona,2,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Not Religious,Hilary Clinton,0.17,NA,NA,NA,0.544
Independent,utah,4,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.703
NA,illinois,3,NA,1,0,1,0,0.5,NA,NA,NA,NA,0.85,1,0,0.5,2016,Mainline,Gary Johnson,0.51,NA,NA,NA,0.536
NA,minnesota,3,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.85,1,0.25,0.25,2016,Catholic,Other,0.51,NA,NA,NA,0.736
Republican,california,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
NA,ohio,4,NA,1,1,0,1,0.5,NA,NA,NA,NA,0.85,0.51,0,0.25,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.562
Democrat,pennsylvania,4,NA,1,0,1,1,0.5,NA,NA,NA,NA,0.85,0.51,0,0,2016,Catholic,Donald Trump,0.51,NA,NA,NA,0.537
Republican,new hampshire,3,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.85,0.51,0.5,0.5,2016,Catholic,NA,0.51,NA,NA,NA,0.662
Independent,california,2,NA,1,0,0,1,0.5,NA,NA,NA,NA,0.51,0.51,0.75,0.25,2016,Not Religious,NA,0.51,NA,NA,NA,0.503
NA,ohio,4,NA,1,1,1,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Other Christian,NA,0.34,NA,NA,NA,0.511
NA,NA,3,NA,0,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Jewish,NA,0.51,NA,NA,NA,0.553
Democrat,maryland,4,NA,1,1,1,1,0.75,NA,NA,NA,NA,0.85,0,0.5,0.5,2016,Catholic,NA,0.51,NA,NA,NA,0.711
Democrat,california,3,NA,0,1,1,1,0.25,NA,NA,NA,NA,1,0.17,0.75,0.25,2016,Other Christian,NA,0.85,NA,NA,NA,0.627
Independent,california,3,NA,1,1,0,0,0.25,NA,NA,NA,NA,0.85,0,0.75,0.75,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.511
NA,texas,4,NA,0,1,1,1,0.75,NA,NA,NA,NA,0.85,0.17,0.5,0.25,2016,Evangelical,NA,0.85,NA,NA,NA,0.637
Republican,new york,2,NA,0,0,0,0,0,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.178
NA,indiana,4,NA,0,1,0,0,1,NA,NA,NA,NA,0.85,0.51,0,0,2016,Not Religious,NA,0,NA,NA,NA,0.336
NA,washington,2,NA,1,1,0,1,0,NA,NA,NA,NA,0.34,0.85,0.5,0.5,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.57
NA,texas,3,NA,1,1,1,1,0.75,NA,NA,NA,NA,0.85,0.85,0.5,0.5,2016,Mainline,Donald Trump,0.51,NA,NA,NA,0.796
Democrat,pennsylvania,2,NA,1,1,0,0,0.25,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Evangelical,Hilary Clinton,0.17,NA,NA,NA,0.394
NA,NA,1,NA,0,0,0,0,0.25,NA,NA,NA,NA,0.51,0.51,0,0,2016,Catholic,NA,0.17,NA,NA,NA,0.144
NA,tennessee,3,NA,1,0,1,0,0.5,NA,NA,NA,NA,0.51,0.85,0.5,0.75,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.562
NA,michigan,2,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.85,1,0,0,2016,Mainline,Hilary Clinton,0.17,NA,NA,NA,0.652
NA,ohio,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
NA,tennessee,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
NA,tennessee,4,NA,1,1,1,1,0.75,NA,NA,NA,NA,0.85,0.51,0.25,0.25,2016,Evangelical,NA,0,NA,NA,NA,0.661
NA,texas,4,NA,0,0,0,0,0.75,NA,NA,NA,NA,0.51,0.51,0.5,0.25,2016,Mainline,Donald Trump,0.51,NA,NA,NA,0.303
Republican,south dakota,4,NA,0,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0.5,2016,Catholic,Donald Trump,0.17,NA,NA,NA,0.319
NA,georgia,3,NA,1,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Not Religious,NA,0.51,NA,NA,NA,0.453
NA,virginia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Catholic,NA,NA,NA,NA,NA,NA
NA,texas,3,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.85,0.85,0.25,0.25,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.646
NA,NA,4,NA,1,1,1,1,0.75,NA,NA,NA,NA,0.51,0.51,0.75,0.75,2016,Not Religious,NA,0.51,NA,NA,NA,0.778
NA,wisconsin,2,NA,1,0,1,0,0.5,NA,NA,NA,NA,0.68,0.51,0.25,0,2016,Mainline,Hilary Clinton,0.34,NA,NA,NA,0.428
Republican,pennsylvania,5,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,0.85,0.75,0.75,2016,Not Religious,Other,0.85,NA,NA,NA,0.821
Independent,oregon,3,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.25,2016,Not Religious,Hilary Clinton,0.34,NA,NA,NA,0.661
NA,virginia,4,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.51,0.51,0,0,2016,Other Christian,Donald Trump,0.51,NA,NA,NA,0.528
Democrat,california,3,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.5,0.5,2016,Not Religious,NA,0.51,NA,NA,NA,0.703
Democrat,connecticut,3,NA,0,0,0,0,0.25,NA,NA,NA,NA,0.51,0.51,0.25,0,2016,Not Religious,NA,0.17,NA,NA,NA,0.169
Democrat,florida,3,NA,1,0,0,0,0,NA,NA,NA,NA,0.85,0.51,0,0,2016,Evangelical,Hilary Clinton,0,NA,NA,NA,0.236
Democrat,new york,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Jewish,NA,NA,NA,NA,NA,NA
NA,ohio,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
Democrat,new york,4,NA,1,1,0,0,0,NA,NA,NA,NA,1,0.51,0.5,0,2016,Other Religion,NA,0.34,NA,NA,NA,0.435
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
NA,texas,1,NA,1,1,1,1,0.25,NA,NA,NA,NA,0.51,0.51,0,0.25,2016,Other Christian,NA,0,NA,NA,NA,0.552
NA,georgia,4,NA,1,1,1,0,0.5,NA,NA,NA,NA,0.85,0.51,0.25,0.25,2016,Evangelical,Donald Trump,0.51,NA,NA,NA,0.587
Republican,arizona,2,NA,1,1,1,0,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Catholic,Donald Trump,0.51,NA,NA,NA,0.553
Republican,california,3,NA,1,0,0,0,0.25,NA,NA,NA,NA,0.51,0.51,0,0,2016,Other Christian,Gary Johnson,0,NA,NA,NA,0.227
Democrat,pennsylvania,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Mainline,NA,NA,NA,NA,NA,NA
Republican,pennsylvania,3,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Not Religious,Hilary Clinton,0.51,NA,NA,NA,0.653
Democrat,oregon,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
Independent,oregon,3,NA,1,0,0,0,0,NA,NA,NA,NA,0.51,0.51,0,0,2016,Other Religion,Hilary Clinton,0,NA,NA,NA,0.202
Democrat,florida,3,NA,0,1,0,0,0.5,NA,NA,NA,NA,0.85,0.17,0.5,0.5,2016,Mainline,Hilary Clinton,0.68,NA,NA,NA,0.42
NA,ohio,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Other Christian,NA,NA,NA,NA,NA,NA
Democrat,maryland,3,NA,1,1,0,1,1,NA,NA,NA,NA,0.51,0.51,0.5,0.75,2016,Other Christian,NA,0.17,NA,NA,NA,0.644
Independent,maryland,3,NA,1,1,0,0,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0,2016,Not Religious,Donald Trump,0.51,NA,NA,NA,0.453
NA,NA,4,NA,1,1,1,1,0,NA,NA,NA,NA,0.51,0.51,0,0,2016,Catholic,Jill Stein,0.51,NA,NA,NA,0.553
Independent,california,5,NA,1,1,1,0,0.5,NA,NA,NA,NA,0.51,0.51,0.75,0.75,2016,Other Christian,NA,0.85,NA,NA,NA,0.687
NA,ohio,2,NA,1,1,1,0,0,NA,NA,NA,NA,1,1,0.25,0,2016,Other Christian,Gary Johnson,0,NA,NA,NA,0.525
Republican,kentucky,4,NA,0,1,0,0,0.75,NA,NA,NA,NA,1,0.51,0.25,0.25,2016,Catholic,Donald Trump,0.51,NA,NA,NA,0.427
Republican,north carolina,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Evangelical,NA,NA,NA,NA,NA,NA
NA,wisconsin,3,NA,1,1,0,0,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Catholic,Hilary Clinton,0.51,NA,NA,NA,0.478
NA,illinois,4,NA,0,0,0,0,0,NA,NA,NA,NA,0.85,0.51,0,0.25,2016,Other Christian,Hilary Clinton,0.17,NA,NA,NA,0.178
Independent,california,3,NA,0,0,0,0,0.5,NA,NA,NA,NA,0.68,0.51,0.25,0,2016,Not Religious,Hilary Clinton,0.51,NA,NA,NA,0.245
NA,michigan,3,NA,1,1,1,0,1,NA,NA,NA,NA,1,1,0.5,0.5,2016,Catholic,Donald Trump,0.85,NA,NA,NA,0.785
Independent,florida,1,NA,1,1,NA,NA,0.75,NA,NA,NA,NA,NA,1,NA,NA,2016,Not Religious,Donald Trump,NA,NA,NA,NA,0.9375
Independent,california,3,NA,0,1,0,0,0,NA,NA,NA,NA,0.51,0.51,0.25,0,2016,Not Religious,NA,0.34,NA,NA,NA,0.261
NA,tennessee,4,NA,1,1,1,0,0.75,NA,NA,NA,NA,0.85,1,0.75,1,2016,Mainline,Donald Trump,0.34,NA,NA,NA,0.769
NA,georgia,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,Not Religious,NA,NA,NA,NA,NA,NA
NA,michigan,3,NA,1,1,NA,0,0,NA,NA,NA,NA,0.85,0.51,0.75,NA,2016,Other Christian,Donald Trump,0.85,NA,NA,NA,0.62
NA,virginia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA
NA,texas,2,NA,1,0,0,0,0,NA,NA,NA,NA,0.51,0.51,0,0,2016,Other Religion,NA,0,NA,NA,NA,0.202
NA,alabama,3,NA,1,0,1,1,0.75,NA,NA,NA,NA,0.51,0.51,0.25,0.25,2016,Not Religious,Gary Johnson,0.51,NA,NA,NA,0.578
Republican,massachusetts,2,NA,0,1,0,0,0.5,NA,NA,NA,NA,0.51,0.51,0,0,2016,Not Religious,Hilary Clinton,0.51,NA,NA,NA,0.303
NA,missouri,4,NA,1,1,1,0,0.5,NA,NA,NA,NA,1,0.51,0.25,0.5,2016,Other Christian,NA,0.51,NA,NA,NA,0.627
Republican,maryland,4,NA,1,1,0,0,0.75,NA,NA,NA,NA,0.68,0.85,0.5,0.25,2016,Catholic,Donald Trump,0.85,NA,NA,NA,0.588
NA,alabama,2,NA,1,1,1,1,0.5,NA,NA,NA,NA,0.51,1,0.75,0.75,2016,Other Christian,Donald Trump,0.51,NA,NA,NA,0.802
NA,georgia,3,NA,0,1,1,0,0.25,NA,NA,NA,NA,0.51,0.51,0,0,2016,Catholic,Hilary Clinton,0,NA,NA,NA,0.327
Democrat,florida,2,NA,1,0,0,0,0,NA,NA,NA,NA,0.85,0.51,0,0.25,2016,Mainline,Hilary Clinton,0,NA,NA,NA,0.261
